"Step","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedSTGM_sgd_lr0.05[t] - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_feddbe-test-t[t] - Global/Averaged Test Accuracy__MAX"
"210","0.1658","0.1658","0.1658","0.3645","0.3645","0.3645","0.1595","0.1595","0.1595"
"211","0.16885","0.16885","0.16885","0.36","0.36","0.36","0.1665","0.1665","0.1665"
"212","0.17095","0.17095","0.17095","0.3595","0.3595","0.3595","0.168","0.168","0.168"
"213","0.1742","0.1742","0.1742","0.3465","0.3465","0.3465","0.176","0.176","0.176"
"214","0.1764","0.1764","0.1764","0.361","0.361","0.361","0.176","0.176","0.176"
"215","0.17895","0.17895","0.17895","0.365","0.365","0.365","0.171","0.171","0.171"
"216","0.1794","0.1794","0.1794","0.3675","0.3675","0.3675","0.182","0.182","0.182"
"217","0.1821","0.1821","0.1821","0.3795","0.3795","0.3795","0.184","0.184","0.184"
"218","0.1827","0.1827","0.1827","0.375","0.375","0.375","0.185","0.185","0.185"
"219","0.18425","0.18425","0.18425","0.3755","0.3755","0.3755","0.189","0.189","0.189"
"220","0.18405","0.18405","0.18405","0.385","0.385","0.385","0.2015","0.2015","0.2015"
"221","0.1838","0.1838","0.1838","0.373","0.373","0.373","0.2","0.2","0.2"
"222","0.1856","0.1856","0.1856","0.3855","0.3855","0.3855","0.1975","0.1975","0.1975"
"223","0.18675","0.18675","0.18675","0.371","0.371","0.371","0.203","0.203","0.203"
"224","0.1859","0.1859","0.1859","0.391","0.391","0.391","0.205","0.205","0.205"
"225","0.02755","0.02755","0.02755","0.2455","0.2455","0.2455","0","0","0"
"226","0.05885","0.05885","0.05885","0.323","0.323","0.323","0","0","0"
"227","0.07995","0.07995","0.07995","0.3505","0.3505","0.3505","0","0","0"
"228","0.10095","0.10095","0.10095","0.378","0.378","0.378","0","0","0"
"229","0.12085","0.12085","0.12085","0.3695","0.3695","0.3695","0.091","0.091","0.091"
"230","0.13395","0.13395","0.13395","0.4005","0.4005","0.4005","0.122","0.122","0.122"
"231","0.14225","0.14225","0.14225","0.39","0.39","0.39","0.146","0.146","0.146"
"232","0.1489","0.1489","0.1489","0.4105","0.4105","0.4105","0.161","0.161","0.161"
"233","0.1536","0.1536","0.1536","0.3935","0.3935","0.3935","0.1725","0.1725","0.1725"
"234","0.15845","0.15845","0.15845","0.403","0.403","0.403","0.1745","0.1745","0.1745"
"235","0.1598","0.1598","0.1598","0.4015","0.4015","0.4015","0.176","0.176","0.176"
"236","0.16235","0.16235","0.16235","0.412","0.412","0.412","0.178","0.178","0.178"
"237","0.16615","0.16615","0.16615","0.406","0.406","0.406","0.179","0.179","0.179"
"238","0.16645","0.16645","0.16645","0.416","0.416","0.416","0.1865","0.1865","0.1865"
"239","0.16795","0.16795","0.16795","0.4095","0.4095","0.4095","0.1845","0.1845","0.1845"
"240","0.1698","0.1698","0.1698","0.4165","0.4165","0.4165","0.1815","0.1815","0.1815"
"241","0.1687","0.1687","0.1687","0.409","0.409","0.409","0.1945","0.1945","0.1945"
"242","0.1704","0.1704","0.1704","0.418","0.418","0.418","0.1935","0.1935","0.1935"
"243","0.17185","0.17185","0.17185","0.4045","0.4045","0.4045","0.196","0.196","0.196"
"244","0.17405","0.17405","0.17405","0.421","0.421","0.421","0.1965","0.1965","0.1965"
"245","0.17295","0.17295","0.17295","0.41","0.41","0.41","0.2005","0.2005","0.2005"
"246","0.1736","0.1736","0.1736","0.4165","0.4165","0.4165","0.202","0.202","0.202"
"247","0.1735","0.1735","0.1735","0.416","0.416","0.416","0.2045","0.2045","0.2045"
"248","0.1738","0.1738","0.1738","0.419","0.419","0.419","0.2075","0.2075","0.2075"
"249","0.1729","0.1729","0.1729","0.42","0.42","0.42","0.2085","0.2085","0.2085"
"250","0.0369","0.0369","0.0369","0.1705","0.1705","0.1705","0","0","0"
"251","0.06915","0.06915","0.06915","0.2225","0.2225","0.2225","0","0","0"
"252","0.09965","0.09965","0.09965","0.2775","0.2775","0.2775","0","0","0"
"253","0.1264","0.1264","0.1264","0.266","0.266","0.266","0.006","0.006","0.006"
"254","0.14745","0.14745","0.14745","0.266","0.266","0.266","0.101","0.101","0.101"
"255","0.1593","0.1593","0.1593","0.3025","0.3025","0.3025","0.133","0.133","0.133"
"256","0.16865","0.16865","0.16865","0.2895","0.2895","0.2895","0.155","0.155","0.155"
"257","0.17425","0.17425","0.17425","0.3145","0.3145","0.3145","0.1635","0.1635","0.1635"
"258","0.1775","0.1775","0.1775","0.31","0.31","0.31","0.173","0.173","0.173"
"259","0.1828","0.1828","0.1828","0.333","0.333","0.333","0.1855","0.1855","0.1855"
"260","0.18365","0.18365","0.18365","0.3205","0.3205","0.3205","0.208","0.208","0.208"
"261","0.1864","0.1864","0.1864","0.3275","0.3275","0.3275","0.2035","0.2035","0.2035"
"262","0.19","0.19","0.19","0.3255","0.3255","0.3255","0.2075","0.2075","0.2075"
"263","0.19295","0.19295","0.19295","0.337","0.337","0.337","0.2135","0.2135","0.2135"
"264","0.19325","0.19325","0.19325","0.3325","0.3325","0.3325","0.216","0.216","0.216"
"265","0.19525","0.19525","0.19525","0.3465","0.3465","0.3465","0.2215","0.2215","0.2215"
"266","0.197","0.197","0.197","0.3435","0.3435","0.3435","0.2255","0.2255","0.2255"
"267","0.19685","0.19685","0.19685","0.351","0.351","0.351","0.226","0.226","0.226"
"268","0.19585","0.19585","0.19585","0.3525","0.3525","0.3525","0.2315","0.2315","0.2315"
"269","0.19765","0.19765","0.19765","0.353","0.353","0.353","0.2275","0.2275","0.2275"
"270","0.1986","0.1986","0.1986","0.358","0.358","0.358","0.226","0.226","0.226"
"271","0.19915","0.19915","0.19915","0.362","0.362","0.362","0.2305","0.2305","0.2305"
"272","0.1993","0.1993","0.1993","0.3635","0.3635","0.3635","0.2345","0.2345","0.2345"
"273","0.19955","0.19955","0.19955","0.37","0.37","0.37","0.2395","0.2395","0.2395"
"274","0.1994","0.1994","0.1994","0.3715","0.3715","0.3715","0.24","0.24","0.24"
"275","0.03585","0.03585","0.03585","0.2535","0.2535","0.2535","0.0125","0.0125","0.0125"
"276","0.0823","0.0823","0.0823","0.3285","0.3285","0.3285","0.0465","0.0465","0.0465"
"277","0.1096","0.1096","0.1096","0.3775","0.3775","0.3775","0.058","0.058","0.058"
"278","0.1297","0.1297","0.1297","0.3825","0.3825","0.3825","0.062","0.062","0.062"
"279","0.1466","0.1466","0.1466","0.393","0.393","0.393","0.095","0.095","0.095"
"280","0.15925","0.15925","0.15925","0.3775","0.3775","0.3775","0.1125","0.1125","0.1125"
"281","0.16725","0.16725","0.16725","0.3975","0.3975","0.3975","0.1335","0.1335","0.1335"
"282","0.1731","0.1731","0.1731","0.388","0.388","0.388","0.148","0.148","0.148"
"283","0.1774","0.1774","0.1774","0.404","0.404","0.404","0.165","0.165","0.165"
"284","0.18145","0.18145","0.18145","0.3935","0.3935","0.3935","0.1835","0.1835","0.1835"
"285","0.1842","0.1842","0.1842","0.4145","0.4145","0.4145","0.1915","0.1915","0.1915"
"286","0.1851","0.1851","0.1851","0.4025","0.4025","0.4025","0.198","0.198","0.198"
"287","0.18755","0.18755","0.18755","0.4255","0.4255","0.4255","0.2045","0.2045","0.2045"
"288","0.19","0.19","0.19","0.413","0.413","0.413","0.208","0.208","0.208"
"289","0.19005","0.19005","0.19005","0.43","0.43","0.43","0.2095","0.2095","0.2095"
"290","0.1904","0.1904","0.1904","0.419","0.419","0.419","0.2135","0.2135","0.2135"
"291","0.1918","0.1918","0.1918","0.4335","0.4335","0.4335","0.2135","0.2135","0.2135"
"292","0.1916","0.1916","0.1916","0.424","0.424","0.424","0.2165","0.2165","0.2165"
"293","0.1914","0.1914","0.1914","0.44","0.44","0.44","0.22","0.22","0.22"
"294","0.1907","0.1907","0.1907","0.426","0.426","0.426","0.2185","0.2185","0.2185"
"295","0.192","0.192","0.192","0.447","0.447","0.447","0.227","0.227","0.227"
"296","0.1925","0.1925","0.1925","0.424","0.424","0.424","0.228","0.228","0.228"
"297","0.1925","0.1925","0.1925","0.4425","0.4425","0.4425","0.234","0.234","0.234"
"298","0.19295","0.19295","0.19295","0.428","0.428","0.428","0.234","0.234","0.234"
"299","0.19355","0.19355","0.19355","0.439","0.439","0.439","0.234","0.234","0.234"
"300","0.0231","0.0231","0.0231","0.2235","0.2235","0.2235","0.007","0.007","0.007"
"301","0.0628","0.0628","0.0628","0.3115","0.3115","0.3115","0.0275","0.0275","0.0275"
"302","0.0983","0.0983","0.0983","0.341","0.341","0.341","0.0355","0.0355","0.0355"
"303","0.1241","0.1241","0.1241","0.348","0.348","0.348","0.0655","0.0655","0.0655"
"304","0.1414","0.1414","0.1414","0.3575","0.3575","0.3575","0.1035","0.1035","0.1035"
"305","0.15515","0.15515","0.15515","0.364","0.364","0.364","0.11","0.11","0.11"
"306","0.16605","0.16605","0.16605","0.3615","0.3615","0.3615","0.1255","0.1255","0.1255"
"307","0.1709","0.1709","0.1709","0.3825","0.3825","0.3825","0.1425","0.1425","0.1425"
"308","0.17595","0.17595","0.17595","0.37","0.37","0.37","0.164","0.164","0.164"
"309","0.18065","0.18065","0.18065","0.3945","0.3945","0.3945","0.1735","0.1735","0.1735"
"310","0.18405","0.18405","0.18405","0.375","0.375","0.375","0.19","0.19","0.19"
"311","0.18595","0.18595","0.18595","0.399","0.399","0.399","0.195","0.195","0.195"
"312","0.1863","0.1863","0.1863","0.378","0.378","0.378","0.2015","0.2015","0.2015"
"313","0.18855","0.18855","0.18855","0.399","0.399","0.399","0.2055","0.2055","0.2055"
"314","0.18865","0.18865","0.18865","0.382","0.382","0.382","0.21","0.21","0.21"
"315","0.19065","0.19065","0.19065","0.4005","0.4005","0.4005","0.217","0.217","0.217"
"316","0.1898","0.1898","0.1898","0.383","0.383","0.383","0.2225","0.2225","0.2225"
"317","0.1888","0.1888","0.1888","0.405","0.405","0.405","0.225","0.225","0.225"
"318","0.19015","0.19015","0.19015","0.3765","0.3765","0.3765","0.226","0.226","0.226"
"319","0.1894","0.1894","0.1894","0.405","0.405","0.405","0.227","0.227","0.227"
"320","0.19035","0.19035","0.19035","0.386","0.386","0.386","0.2315","0.2315","0.2315"
"321","0.1884","0.1884","0.1884","0.4085","0.4085","0.4085","0.2375","0.2375","0.2375"
"322","0.18845","0.18845","0.18845","0.3915","0.3915","0.3915","0.2415","0.2415","0.2415"
"323","0.18935","0.18935","0.18935","0.4075","0.4075","0.4075","0.2405","0.2405","0.2405"
"324","0.1896","0.1896","0.1896","0.3965","0.3965","0.3965","0.2445","0.2445","0.2445"
"325","0.02965","0.02965","0.02965","0.1515","0.1515","0.1515","0","0","0"
"326","0.074","0.074","0.074","0.2045","0.2045","0.2045","0","0","0"
"327","0.10935","0.10935","0.10935","0.243","0.243","0.243","0.083","0.083","0.083"
"328","0.1417","0.1417","0.1417","0.2485","0.2485","0.2485","0.1","0.1","0.1"
"329","0.16145","0.16145","0.16145","0.268","0.268","0.268","0.1025","0.1025","0.1025"
"330","0.1741","0.1741","0.1741","0.2785","0.2785","0.2785","0.109","0.109","0.109"
"331","0.1844","0.1844","0.1844","0.285","0.285","0.285","0.145","0.145","0.145"
"332","0.18905","0.18905","0.18905","0.2975","0.2975","0.2975","0.1595","0.1595","0.1595"
"333","0.1942","0.1942","0.1942","0.2955","0.2955","0.2955","0.174","0.174","0.174"
"334","0.19705","0.19705","0.19705","0.302","0.302","0.302","0.2005","0.2005","0.2005"
"335","0.19875","0.19875","0.19875","0.3015","0.3015","0.3015","0.213","0.213","0.213"
"336","0.20115","0.20115","0.20115","0.304","0.304","0.304","0.2305","0.2305","0.2305"
"337","0.20185","0.20185","0.20185","0.3065","0.3065","0.3065","0.2285","0.2285","0.2285"
"338","0.202","0.202","0.202","0.313","0.313","0.313","0.242","0.242","0.242"
"339","0.2032","0.2032","0.2032","0.31","0.31","0.31","0.2405","0.2405","0.2405"
"340","0.20295","0.20295","0.20295","0.3175","0.3175","0.3175","0.2515","0.2515","0.2515"
"341","0.20245","0.20245","0.20245","0.319","0.319","0.319","0.2555","0.2555","0.2555"
"342","0.20265","0.20265","0.20265","0.3095","0.3095","0.3095","0.258","0.258","0.258"
"343","0.2034","0.2034","0.2034","0.3155","0.3155","0.3155","0.2605","0.2605","0.2605"
"344","0.20405","0.20405","0.20405","0.318","0.318","0.318","0.2715","0.2715","0.2715"
"345","0.203","0.203","0.203","0.321","0.321","0.321","0.2555","0.2555","0.2555"
"346","0.20325","0.20325","0.20325","0.321","0.321","0.321","0.2515","0.2515","0.2515"
"347","0.20275","0.20275","0.20275","0.328","0.328","0.328","0.2635","0.2635","0.2635"
"348","0.20115","0.20115","0.20115","0.327","0.327","0.327","0.266","0.266","0.266"
"349","0.202","0.202","0.202","0.3355","0.3355","0.3355","0.273","0.273","0.273"
"350","0.03525","0.03525","0.03525","0.207","0.207","0.207","0","0","0"
"351","0.0906","0.0906","0.0906","0.2335","0.2335","0.2335","0","0","0"
"352","0.12685","0.12685","0.12685","0.3075","0.3075","0.3075","0","0","0"
"353","0.1544","0.1544","0.1544","0.284","0.284","0.284","0.0165","0.0165","0.0165"
"354","0.1721","0.1721","0.1721","0.325","0.325","0.325","0.0945","0.0945","0.0945"
"355","0.18355","0.18355","0.18355","0.3","0.3","0.3","0.132","0.132","0.132"
"356","0.19265","0.19265","0.19265","0.3305","0.3305","0.3305","0.16","0.16","0.16"
"357","0.1952","0.1952","0.1952","0.3245","0.3245","0.3245","0.1685","0.1685","0.1685"
"358","0.1981","0.1981","0.1981","0.3495","0.3495","0.3495","0.18","0.18","0.18"
"359","0.19795","0.19795","0.19795","0.3395","0.3395","0.3395","0.193","0.193","0.193"
"360","0.20035","0.20035","0.20035","0.3535","0.3535","0.3535","0.2035","0.2035","0.2035"
"361","0.1985","0.1985","0.1985","0.3445","0.3445","0.3445","0.2105","0.2105","0.2105"
"362","0.2002","0.2002","0.2002","0.365","0.365","0.365","0.215","0.215","0.215"
"363","0.20045","0.20045","0.20045","0.345","0.345","0.345","0.2195","0.2195","0.2195"
"364","0.20075","0.20075","0.20075","0.369","0.369","0.369","0.2285","0.2285","0.2285"
"365","0.19855","0.19855","0.19855","0.3535","0.3535","0.3535","0.2315","0.2315","0.2315"
"366","0.1985","0.1985","0.1985","0.3625","0.3625","0.3625","0.2305","0.2305","0.2305"
"367","0.1986","0.1986","0.1986","0.355","0.355","0.355","0.238","0.238","0.238"
"368","0.1984","0.1984","0.1984","0.3625","0.3625","0.3625","0.243","0.243","0.243"
"369","0.19665","0.19665","0.19665","0.3535","0.3535","0.3535","0.2445","0.2445","0.2445"
"370","0.19665","0.19665","0.19665","0.365","0.365","0.365","0.247","0.247","0.247"
"371","0.19675","0.19675","0.19675","0.3605","0.3605","0.3605","0.2415","0.2415","0.2415"
"372","0.19525","0.19525","0.19525","0.362","0.362","0.362","0.2505","0.2505","0.2505"
"373","0.1949","0.1949","0.1949","0.3705","0.3705","0.3705","0.25","0.25","0.25"
"374","0.19535","0.19535","0.19535","0.3695","0.3695","0.3695","0.254","0.254","0.254"
"375","0.0376","0.0376","0.0376","0.154","0.154","0.154","0.0025","0.0025","0.0025"
"376","0.10215","0.10215","0.10215","0.2755","0.2755","0.2755","0.0105","0.0105","0.0105"
"377","0.1395","0.1395","0.1395","0.32","0.32","0.32","0.0265","0.0265","0.0265"
"378","0.162","0.162","0.162","0.325","0.325","0.325","0.041","0.041","0.041"
"379","0.1778","0.1778","0.1778","0.35","0.35","0.35","0.0555","0.0555","0.0555"
"380","0.1867","0.1867","0.1867","0.3345","0.3345","0.3345","0.1","0.1","0.1"
"381","0.193","0.193","0.193","0.356","0.356","0.356","0.1295","0.1295","0.1295"
"382","0.19675","0.19675","0.19675","0.3485","0.3485","0.3485","0.1435","0.1435","0.1435"
"383","0.19875","0.19875","0.19875","0.354","0.354","0.354","0.1565","0.1565","0.1565"
"384","0.20155","0.20155","0.20155","0.343","0.343","0.343","0.1715","0.1715","0.1715"
"385","0.204","0.204","0.204","0.358","0.358","0.358","0.175","0.175","0.175"
"386","0.20365","0.20365","0.20365","0.343","0.343","0.343","0.184","0.184","0.184"
"387","0.20555","0.20555","0.20555","0.361","0.361","0.361","0.1845","0.1845","0.1845"
"388","0.20585","0.20585","0.20585","0.344","0.344","0.344","0.1865","0.1865","0.1865"
"389","0.2063","0.2063","0.2063","0.36","0.36","0.36","0.196","0.196","0.196"
"390","0.2067","0.2067","0.2067","0.3435","0.3435","0.3435","0.195","0.195","0.195"
"391","0.20705","0.20705","0.20705","0.3645","0.3645","0.3645","0.1985","0.1985","0.1985"
"392","0.20585","0.20585","0.20585","0.342","0.342","0.342","0.2005","0.2005","0.2005"
"393","0.2059","0.2059","0.2059","0.365","0.365","0.365","0.2065","0.2065","0.2065"
"394","0.2073","0.2073","0.2073","0.355","0.355","0.355","0.2025","0.2025","0.2025"
"395","0.2051","0.2051","0.2051","0.371","0.371","0.371","0.2095","0.2095","0.2095"
"396","0.2063","0.2063","0.2063","0.353","0.353","0.353","0.21","0.21","0.21"
"397","0.2043","0.2043","0.2043","0.3675","0.3675","0.3675","0.2095","0.2095","0.2095"
"398","0.2025","0.2025","0.2025","0.3545","0.3545","0.3545","0.215","0.215","0.215"
"399","0.20335","0.20335","0.20335","0.368","0.368","0.368","0.22","0.22","0.22"
"400","0.0306","0.0306","0.0306","0.3055","0.3055","0.3055","0","0","0"
"401","0.10285","0.10285","0.10285","0.357","0.357","0.357","0","0","0"
"402","0.13575","0.13575","0.13575","0.3755","0.3755","0.3755","0","0","0"
"403","0.15715","0.15715","0.15715","0.3905","0.3905","0.3905","0.023","0.023","0.023"
"404","0.1691","0.1691","0.1691","0.3875","0.3875","0.3875","0.1055","0.1055","0.1055"
"405","0.17745","0.17745","0.17745","0.399","0.399","0.399","0.133","0.133","0.133"
"406","0.1832","0.1832","0.1832","0.407","0.407","0.407","0.161","0.161","0.161"
"407","0.185","0.185","0.185","0.4135","0.4135","0.4135","0.168","0.168","0.168"
"408","0.1876","0.1876","0.1876","0.416","0.416","0.416","0.168","0.168","0.168"
"409","0.1881","0.1881","0.1881","0.425","0.425","0.425","0.176","0.176","0.176"
"410","0.19145","0.19145","0.19145","0.423","0.423","0.423","0.1855","0.1855","0.1855"
"411","0.1922","0.1922","0.1922","0.4265","0.4265","0.4265","0.1905","0.1905","0.1905"
"412","0.19205","0.19205","0.19205","0.4265","0.4265","0.4265","0.191","0.191","0.191"
"413","0.19445","0.19445","0.19445","0.426","0.426","0.426","0.197","0.197","0.197"
"414","0.19335","0.19335","0.19335","0.4285","0.4285","0.4285","0.2","0.2","0.2"
"415","0.19315","0.19315","0.19315","0.427","0.427","0.427","0.199","0.199","0.199"
"416","0.19165","0.19165","0.19165","0.433","0.433","0.433","0.201","0.201","0.201"
"417","0.19195","0.19195","0.19195","0.43","0.43","0.43","0.2055","0.2055","0.2055"
"418","0.1919","0.1919","0.1919","0.43","0.43","0.43","0.2065","0.2065","0.2065"
"419","0.19055","0.19055","0.19055","0.4295","0.4295","0.4295","0.2115","0.2115","0.2115"
"420","0.18905","0.18905","0.18905","0.4315","0.4315","0.4315","0.2135","0.2135","0.2135"
"421","0.18865","0.18865","0.18865","0.4325","0.4325","0.4325","0.219","0.219","0.219"
"422","0.1878","0.1878","0.1878","0.4295","0.4295","0.4295","0.22","0.22","0.22"
"423","0.1875","0.1875","0.1875","0.4275","0.4275","0.4275","0.2275","0.2275","0.2275"
"424","0.18665","0.18665","0.18665","0.43","0.43","0.43","0.227","0.227","0.227"
"425","0.026","0.026","0.026","0.221","0.221","0.221","0","0","0"
"426","0.087","0.087","0.087","0.251","0.251","0.251","0","0","0"
