"Step","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy__MIN","CIFAR100_CNN_FedDBE_sgd_lr0.005_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedDBE_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MIN","IMAGENET1k_CNN_FedALA_sgd_lr0.005_20classes_st - Global/Averaged Test Accuracy__MAX"
"0","0.0375","0.0375","0.0375","0.00015","0.00015","0.00015","0.00015","0.00015","0.00015"
"1","0.1015","0.1015","0.1015","0.015","0.015","0.015","0.0515","0.0515","0.0515"
"2","0.102","0.102","0.102","0.015","0.015","0.015","0.0572","0.0572","0.0572"
"3","0.112","0.112","0.112","0.01575","0.01575","0.01575","0.0746","0.0746","0.0746"
"4","0.173","0.173","0.173","0.0272","0.0272","0.0272","0.0908","0.0908","0.0908"
"5","0.183","0.183","0.183","0.03715","0.03715","0.03715","0.12025","0.12025","0.12025"
"6","0.2055","0.2055","0.2055","0.0376","0.0376","0.0376","0.1333","0.1333","0.1333"
"7","0.1605","0.1605","0.1605","0.03935","0.03935","0.03935","0.14935","0.14935","0.14935"
"8","0.168","0.168","0.168","0.04355","0.04355","0.04355","0.1617","0.1617","0.1617"
"9","0.1335","0.1335","0.1335","0.04595","0.04595","0.04595","0.16835","0.16835","0.16835"
"10","0.199","0.199","0.199","0.0481","0.0481","0.0481","0.17555","0.17555","0.17555"
"11","0.1715","0.1715","0.1715","0.0508","0.0508","0.0508","0.18545","0.18545","0.18545"
"12","0.2245","0.2245","0.2245","0.05225","0.05225","0.05225","0.1944","0.1944","0.1944"
"13","0.2","0.2","0.2","0.0546","0.0546","0.0546","0.19935","0.19935","0.19935"
"14","0.218","0.218","0.218","0.05735","0.05735","0.05735","0.204","0.204","0.204"
"15","0.248","0.248","0.248","0.0583","0.0583","0.0583","0.2135","0.2135","0.2135"
"16","0.2585","0.2585","0.2585","0.06155","0.06155","0.06155","0.2284","0.2284","0.2284"
"17","0.2575","0.2575","0.2575","0.065","0.065","0.065","0.2363","0.2363","0.2363"
"18","0.23","0.23","0.23","0.06835","0.06835","0.06835","0.24765","0.24765","0.24765"
"19","0.264","0.264","0.264","0.0704","0.0704","0.0704","0.25435","0.25435","0.25435"
"20","0.27","0.27","0.27","0.07535","0.07535","0.07535","0.2623","0.2623","0.2623"
"21","0.275","0.275","0.275","0.0792","0.0792","0.0792","0.2638","0.2638","0.2638"
"22","0.27","0.27","0.27","0.0853","0.0853","0.0853","0.26845","0.26845","0.26845"
"23","0.282","0.282","0.282","0.08855","0.08855","0.08855","0.27095","0.27095","0.27095"
"24","0.2775","0.2775","0.2775","0.0918","0.0918","0.0918","0.2742","0.2742","0.2742"
"25","0.031","0.031","0.031","0.00895","0.00895","0.00895","0.00065","0.00065","0.00065"
"26","0.074","0.074","0.074","0.02345","0.02345","0.02345","0.0174","0.0174","0.0174"
"27","0.0845","0.0845","0.0845","0.0325","0.0325","0.0325","0.0261","0.0261","0.0261"
"28","0.138","0.138","0.138","0.0425","0.0425","0.0425","0.0373","0.0373","0.0373"
"29","0.1295","0.1295","0.1295","0.04795","0.04795","0.04795","0.0441","0.0441","0.0441"
"30","0.1275","0.1275","0.1275","0.0524","0.0524","0.0524","0.04925","0.04925","0.04925"
"31","0.1345","0.1345","0.1345","0.0569","0.0569","0.0569","0.05365","0.05365","0.05365"
"32","0.148","0.148","0.148","0.06055","0.06055","0.06055","0.05875","0.05875","0.05875"
"33","0.1535","0.1535","0.1535","0.06585","0.06585","0.06585","0.0603","0.0603","0.0603"
"34","0.156","0.156","0.156","0.06985","0.06985","0.06985","0.0661","0.0661","0.0661"
"35","0.1625","0.1625","0.1625","0.0748","0.0748","0.0748","0.06975","0.06975","0.06975"
"36","0.163","0.163","0.163","0.078","0.078","0.078","0.0737","0.0737","0.0737"
"37","0.166","0.166","0.166","0.08145","0.08145","0.08145","0.0771","0.0771","0.0771"
"38","0.1685","0.1685","0.1685","0.08375","0.08375","0.08375","0.0817","0.0817","0.0817"
"39","0.171","0.171","0.171","0.08665","0.08665","0.08665","0.08445","0.08445","0.08445"
"40","0.1795","0.1795","0.1795","0.0891","0.0891","0.0891","0.0886","0.0886","0.0886"
"41","0.1765","0.1765","0.1765","0.0929","0.0929","0.0929","0.09","0.09","0.09"
"42","0.1755","0.1755","0.1755","0.0958","0.0958","0.0958","0.0926","0.0926","0.0926"
"43","0.1805","0.1805","0.1805","0.0989","0.0989","0.0989","0.09505","0.09505","0.09505"
"44","0.1905","0.1905","0.1905","0.1014","0.1014","0.1014","0.0963","0.0963","0.0963"
"45","0.1875","0.1875","0.1875","0.10245","0.10245","0.10245","0.09955","0.09955","0.09955"
"46","0.195","0.195","0.195","0.1053","0.1053","0.1053","0.1001","0.1001","0.1001"
"47","0.202","0.202","0.202","0.10695","0.10695","0.10695","0.1013","0.1013","0.1013"
"48","0.204","0.204","0.204","0.10965","0.10965","0.10965","0.1047","0.1047","0.1047"
"49","0.192","0.192","0.192","0.11105","0.11105","0.11105","0.1045","0.1045","0.1045"
"50","0.007","0.007","0.007","0.01725","0.01725","0.01725","0.0174","0.0174","0.0174"
"51","0.0485","0.0485","0.0485","0.03055","0.03055","0.03055","0.03185","0.03185","0.03185"
"52","0.159","0.159","0.159","0.04695","0.04695","0.04695","0.04495","0.04495","0.04495"
"53","0.16","0.16","0.16","0.06325","0.06325","0.06325","0.0628","0.0628","0.0628"
"54","0.163","0.163","0.163","0.0693","0.0693","0.0693","0.0684","0.0684","0.0684"
"55","0.166","0.166","0.166","0.0731","0.0731","0.0731","0.07365","0.07365","0.07365"
"56","0.1655","0.1655","0.1655","0.07635","0.07635","0.07635","0.07665","0.07665","0.07665"
"57","0.1675","0.1675","0.1675","0.0788","0.0788","0.0788","0.08135","0.08135","0.08135"
"58","0.1725","0.1725","0.1725","0.08165","0.08165","0.08165","0.0849","0.0849","0.0849"
"59","0.1735","0.1735","0.1735","0.08345","0.08345","0.08345","0.0901","0.0901","0.0901"
"60","0.17","0.17","0.17","0.08605","0.08605","0.08605","0.091","0.091","0.091"
"61","0.1725","0.1725","0.1725","0.0899","0.0899","0.0899","0.09385","0.09385","0.09385"
"62","0.1745","0.1745","0.1745","0.0922","0.0922","0.0922","0.09585","0.09585","0.09585"
"63","0.177","0.177","0.177","0.09555","0.09555","0.09555","0.0988","0.0988","0.0988"
"64","0.1845","0.1845","0.1845","0.0968","0.0968","0.0968","0.10175","0.10175","0.10175"
"65","0.1855","0.1855","0.1855","0.1011","0.1011","0.1011","0.10305","0.10305","0.10305"
"66","0.1875","0.1875","0.1875","0.1028","0.1028","0.1028","0.10735","0.10735","0.10735"
"67","0.195","0.195","0.195","0.1049","0.1049","0.1049","0.10775","0.10775","0.10775"
"68","0.194","0.194","0.194","0.1062","0.1062","0.1062","0.10925","0.10925","0.10925"
"69","0.2025","0.2025","0.2025","0.10755","0.10755","0.10755","0.11105","0.11105","0.11105"
"70","0.2","0.2","0.2","0.11055","0.11055","0.11055","0.11385","0.11385","0.11385"
"71","0.2","0.2","0.2","0.11285","0.11285","0.11285","0.11675","0.11675","0.11675"
"72","0.2055","0.2055","0.2055","0.1129","0.1129","0.1129","0.1165","0.1165","0.1165"
"73","0.205","0.205","0.205","0.11725","0.11725","0.11725","0.1196","0.1196","0.1196"
"74","0.217","0.217","0.217","0.1155","0.1155","0.1155","0.1212","0.1212","0.1212"
"75","0.003","0.003","0.003","0.0137","0.0137","0.0137","0.0147","0.0147","0.0147"
"76","0.072","0.072","0.072","0.0421","0.0421","0.0421","0.04495","0.04495","0.04495"
"77","0.142","0.142","0.142","0.05835","0.05835","0.05835","0.0597","0.0597","0.0597"
"78","0.144","0.144","0.144","0.0753","0.0753","0.0753","0.072","0.072","0.072"
"79","0.146","0.146","0.146","0.08495","0.08495","0.08495","0.08605","0.08605","0.08605"
"80","0.146","0.146","0.146","0.0908","0.0908","0.0908","0.0915","0.0915","0.0915"
"81","0.1465","0.1465","0.1465","0.09745","0.09745","0.09745","0.0985","0.0985","0.0985"
"82","0.145","0.145","0.145","0.10265","0.10265","0.10265","0.10305","0.10305","0.10305"
"83","0.1535","0.1535","0.1535","0.10605","0.10605","0.10605","0.108","0.108","0.108"
"84","0.1465","0.1465","0.1465","0.1117","0.1117","0.1117","0.11345","0.11345","0.11345"
"85","0.157","0.157","0.157","0.11595","0.11595","0.11595","0.11645","0.11645","0.11645"
"86","0.161","0.161","0.161","0.1215","0.1215","0.1215","0.1201","0.1201","0.1201"
"87","0.1665","0.1665","0.1665","0.12445","0.12445","0.12445","0.12415","0.12415","0.12415"
"88","0.166","0.166","0.166","0.12955","0.12955","0.12955","0.12915","0.12915","0.12915"
"89","0.17","0.17","0.17","0.13325","0.13325","0.13325","0.13315","0.13315","0.13315"
"90","0.177","0.177","0.177","0.1368","0.1368","0.1368","0.13525","0.13525","0.13525"
"91","0.1795","0.1795","0.1795","0.1369","0.1369","0.1369","0.13735","0.13735","0.13735"
"92","0.193","0.193","0.193","0.13985","0.13985","0.13985","0.1391","0.1391","0.1391"
"93","0.186","0.186","0.186","0.1417","0.1417","0.1417","0.1417","0.1417","0.1417"
"94","0.1965","0.1965","0.1965","0.14475","0.14475","0.14475","0.1438","0.1438","0.1438"
"95","0.196","0.196","0.196","0.1485","0.1485","0.1485","0.14685","0.14685","0.14685"
"96","0.2005","0.2005","0.2005","0.1498","0.1498","0.1498","0.1481","0.1481","0.1481"
"97","0.204","0.204","0.204","0.1513","0.1513","0.1513","0.1494","0.1494","0.1494"
"98","0.2045","0.2045","0.2045","0.1529","0.1529","0.1529","0.14925","0.14925","0.14925"
"99","0.208","0.208","0.208","0.1539","0.1539","0.1539","0.1524","0.1524","0.1524"
"100","0","0","0","0.0193","0.0193","0.0193","0.0186","0.0186","0.0186"
"101","0.048","0.048","0.048","0.04695","0.04695","0.04695","0.04815","0.04815","0.04815"
"102","0.156","0.156","0.156","0.07215","0.07215","0.07215","0.06855","0.06855","0.06855"
"103","0.162","0.162","0.162","0.0885","0.0885","0.0885","0.0829","0.0829","0.0829"
"104","0.1685","0.1685","0.1685","0.09785","0.09785","0.09785","0.09735","0.09735","0.09735"
"105","0.1685","0.1685","0.1685","0.1071","0.1071","0.1071","0.1071","0.1071","0.1071"
"106","0.184","0.184","0.184","0.11445","0.11445","0.11445","0.115","0.115","0.115"
"107","0.1825","0.1825","0.1825","0.1214","0.1214","0.1214","0.1208","0.1208","0.1208"
"108","0.195","0.195","0.195","0.12695","0.12695","0.12695","0.1245","0.1245","0.1245"
"109","0.194","0.194","0.194","0.13035","0.13035","0.13035","0.1298","0.1298","0.1298"
"110","0.1995","0.1995","0.1995","0.1357","0.1357","0.1357","0.13525","0.13525","0.13525"
"111","0.204","0.204","0.204","0.13845","0.13845","0.13845","0.14105","0.14105","0.14105"
"112","0.194","0.194","0.194","0.1404","0.1404","0.1404","0.1457","0.1457","0.1457"
"113","0.205","0.205","0.205","0.1448","0.1448","0.1448","0.14985","0.14985","0.14985"
"114","0.2075","0.2075","0.2075","0.1477","0.1477","0.1477","0.1535","0.1535","0.1535"
"115","0.2125","0.2125","0.2125","0.15235","0.15235","0.15235","0.15565","0.15565","0.15565"
"116","0.211","0.211","0.211","0.15385","0.15385","0.15385","0.1573","0.1573","0.1573"
"117","0.213","0.213","0.213","0.15605","0.15605","0.15605","0.1579","0.1579","0.1579"
"118","0.2145","0.2145","0.2145","0.1588","0.1588","0.1588","0.16185","0.16185","0.16185"
"119","0.2125","0.2125","0.2125","0.1591","0.1591","0.1591","0.1631","0.1631","0.1631"
"120","0.219","0.219","0.219","0.1613","0.1613","0.1613","0.1658","0.1658","0.1658"
"121","0.214","0.214","0.214","0.1647","0.1647","0.1647","0.1653","0.1653","0.1653"
"122","0.21","0.21","0.21","0.16545","0.16545","0.16545","0.16885","0.16885","0.16885"
"123","0.217","0.217","0.217","0.16655","0.16655","0.16655","0.169","0.169","0.169"
"124","0.213","0.213","0.213","0.1694","0.1694","0.1694","0.1699","0.1699","0.1699"
"125","0.0175","0.0175","0.0175","0.0285","0.0285","0.0285","0.0286","0.0286","0.0286"
"126","0.065","0.065","0.065","0.0445","0.0445","0.0445","0.05355","0.05355","0.05355"
"127","0.126","0.126","0.126","0.06495","0.06495","0.06495","0.0713","0.0713","0.0713"
"128","0.1475","0.1475","0.1475","0.0806","0.0806","0.0806","0.088","0.088","0.088"
"129","0.155","0.155","0.155","0.09675","0.09675","0.09675","0.1018","0.1018","0.1018"
"130","0.1695","0.1695","0.1695","0.10655","0.10655","0.10655","0.1088","0.1088","0.1088"
"131","0.18","0.18","0.18","0.11295","0.11295","0.11295","0.1156","0.1156","0.1156"
"132","0.1855","0.1855","0.1855","0.1173","0.1173","0.1173","0.1197","0.1197","0.1197"
"133","0.198","0.198","0.198","0.12255","0.12255","0.12255","0.1253","0.1253","0.1253"
"134","0.202","0.202","0.202","0.1258","0.1258","0.1258","0.1305","0.1305","0.1305"
"135","0.2105","0.2105","0.2105","0.12755","0.12755","0.12755","0.13335","0.13335","0.13335"
"136","0.2145","0.2145","0.2145","0.1327","0.1327","0.1327","0.1386","0.1386","0.1386"
"137","0.218","0.218","0.218","0.13635","0.13635","0.13635","0.14035","0.14035","0.14035"
"138","0.223","0.223","0.223","0.1378","0.1378","0.1378","0.14335","0.14335","0.14335"
"139","0.2305","0.2305","0.2305","0.1401","0.1401","0.1401","0.1467","0.1467","0.1467"
"140","0.234","0.234","0.234","0.14255","0.14255","0.14255","0.1496","0.1496","0.1496"
"141","0.2375","0.2375","0.2375","0.1445","0.1445","0.1445","0.1499","0.1499","0.1499"
"142","0.238","0.238","0.238","0.1458","0.1458","0.1458","0.15395","0.15395","0.15395"
"143","0.243","0.243","0.243","0.1485","0.1485","0.1485","0.15485","0.15485","0.15485"
"144","0.247","0.247","0.247","0.15085","0.15085","0.15085","0.15675","0.15675","0.15675"
"145","0.2445","0.2445","0.2445","0.1522","0.1522","0.1522","0.1578","0.1578","0.1578"
"146","0.245","0.245","0.245","0.15325","0.15325","0.15325","0.159","0.159","0.159"
"147","0.2515","0.2515","0.2515","0.1539","0.1539","0.1539","0.1603","0.1603","0.1603"
"148","0.258","0.258","0.258","0.1559","0.1559","0.1559","0.1617","0.1617","0.1617"
"149","0.262","0.262","0.262","0.15555","0.15555","0.15555","0.16135","0.16135","0.16135"
"150","0.039","0.039","0.039","0.0297","0.0297","0.0297","0.03245","0.03245","0.03245"
"151","0.088","0.088","0.088","0.05355","0.05355","0.05355","0.0588","0.0588","0.0588"
"152","0.1115","0.1115","0.1115","0.07025","0.07025","0.07025","0.07625","0.07625","0.07625"
"153","0.1285","0.1285","0.1285","0.0848","0.0848","0.0848","0.0907","0.0907","0.0907"
"154","0.139","0.139","0.139","0.09515","0.09515","0.09515","0.10055","0.10055","0.10055"
"155","0.1535","0.1535","0.1535","0.10235","0.10235","0.10235","0.10735","0.10735","0.10735"
"156","0.1645","0.1645","0.1645","0.1092","0.1092","0.1092","0.11315","0.11315","0.11315"
"157","0.1885","0.1885","0.1885","0.11405","0.11405","0.11405","0.1176","0.1176","0.1176"
"158","0.197","0.197","0.197","0.1186","0.1186","0.1186","0.1217","0.1217","0.1217"
"159","0.207","0.207","0.207","0.12175","0.12175","0.12175","0.12645","0.12645","0.12645"
"160","0.209","0.209","0.209","0.1257","0.1257","0.1257","0.1296","0.1296","0.1296"
"161","0.2095","0.2095","0.2095","0.12905","0.12905","0.12905","0.1323","0.1323","0.1323"
"162","0.2105","0.2105","0.2105","0.13165","0.13165","0.13165","0.13625","0.13625","0.13625"
"163","0.21","0.21","0.21","0.13465","0.13465","0.13465","0.139","0.139","0.139"
"164","0.2125","0.2125","0.2125","0.1361","0.1361","0.1361","0.1402","0.1402","0.1402"
"165","0.207","0.207","0.207","0.13855","0.13855","0.13855","0.14055","0.14055","0.14055"
"166","0.212","0.212","0.212","0.14165","0.14165","0.14165","0.1433","0.1433","0.1433"
"167","0.215","0.215","0.215","0.14205","0.14205","0.14205","0.1466","0.1466","0.1466"
"168","0.22","0.22","0.22","0.14365","0.14365","0.14365","0.1474","0.1474","0.1474"
"169","0.2255","0.2255","0.2255","0.14585","0.14585","0.14585","0.1483","0.1483","0.1483"
"170","0.219","0.219","0.219","0.14675","0.14675","0.14675","0.1493","0.1493","0.1493"
"171","0.2275","0.2275","0.2275","0.147","0.147","0.147","0.15025","0.15025","0.15025"
"172","0.2375","0.2375","0.2375","0.14815","0.14815","0.14815","0.1507","0.1507","0.1507"
"173","0.2435","0.2435","0.2435","0.1493","0.1493","0.1493","0.1517","0.1517","0.1517"
"174","0.2475","0.2475","0.2475","0.1505","0.1505","0.1505","0.15195","0.15195","0.15195"
"175","0.009","0.009","0.009","0.02135","0.02135","0.02135","0.0222","0.0222","0.0222"
"176","0.1015","0.1015","0.1015","0.04415","0.04415","0.04415","0.04715","0.04715","0.04715"
"177","0.1565","0.1565","0.1565","0.07285","0.07285","0.07285","0.0742","0.0742","0.0742"
"178","0.174","0.174","0.174","0.09355","0.09355","0.09355","0.0965","0.0965","0.0965"
"179","0.2135","0.2135","0.2135","0.104","0.104","0.104","0.1107","0.1107","0.1107"
"180","0.2245","0.2245","0.2245","0.1114","0.1114","0.1114","0.119","0.119","0.119"
"181","0.229","0.229","0.229","0.12","0.12","0.12","0.12565","0.12565","0.12565"
"182","0.2365","0.2365","0.2365","0.12675","0.12675","0.12675","0.1325","0.1325","0.1325"
"183","0.2405","0.2405","0.2405","0.1332","0.1332","0.1332","0.1383","0.1383","0.1383"
"184","0.2475","0.2475","0.2475","0.13755","0.13755","0.13755","0.14255","0.14255","0.14255"
"185","0.246","0.246","0.246","0.1414","0.1414","0.1414","0.14915","0.14915","0.14915"
"186","0.2615","0.2615","0.2615","0.14545","0.14545","0.14545","0.1534","0.1534","0.1534"
"187","0.2475","0.2475","0.2475","0.1471","0.1471","0.1471","0.15555","0.15555","0.15555"
"188","0.257","0.257","0.257","0.1498","0.1498","0.1498","0.1595","0.1595","0.1595"
"189","0.257","0.257","0.257","0.152","0.152","0.152","0.16305","0.16305","0.16305"
"190","0.261","0.261","0.261","0.15525","0.15525","0.15525","0.1654","0.1654","0.1654"
"191","0.2605","0.2605","0.2605","0.15765","0.15765","0.15765","0.1684","0.1684","0.1684"
"192","0.2605","0.2605","0.2605","0.1602","0.1602","0.1602","0.1695","0.1695","0.1695"
"193","0.2625","0.2625","0.2625","0.16205","0.16205","0.16205","0.17135","0.17135","0.17135"
"194","0.2725","0.2725","0.2725","0.1645","0.1645","0.1645","0.17335","0.17335","0.17335"
"195","0.277","0.277","0.277","0.1659","0.1659","0.1659","0.174","0.174","0.174"
"196","0.269","0.269","0.269","0.1667","0.1667","0.1667","0.175","0.175","0.175"
"197","0.2755","0.2755","0.2755","0.16875","0.16875","0.16875","0.175","0.175","0.175"
"198","0.2765","0.2765","0.2765","0.1691","0.1691","0.1691","0.1786","0.1786","0.1786"
"199","0.2835","0.2835","0.2835","0.17005","0.17005","0.17005","0.1769","0.1769","0.1769"
"200","0.0495","0.0495","0.0495","0.02715","0.02715","0.02715","0.0278","0.0278","0.0278"
"201","0.139","0.139","0.139","0.04945","0.04945","0.04945","0.05515","0.05515","0.05515"
"202","0.1735","0.1735","0.1735","0.07355","0.07355","0.07355","0.08195","0.08195","0.08195"
"203","0.2085","0.2085","0.2085","0.09745","0.09745","0.09745","0.1074","0.1074","0.1074"
"204","0.2125","0.2125","0.2125","0.1126","0.1126","0.1126","0.1241","0.1241","0.1241"
"205","0.218","0.218","0.218","0.12705","0.12705","0.12705","0.13335","0.13335","0.13335"
"206","0.243","0.243","0.243","0.1362","0.1362","0.1362","0.1433","0.1433","0.1433"
"207","0.2275","0.2275","0.2275","0.1442","0.1442","0.1442","0.1491","0.1491","0.1491"
"208","0.234","0.234","0.234","0.1483","0.1483","0.1483","0.1557","0.1557","0.1557"
"209","0.242","0.242","0.242","0.1535","0.1535","0.1535","0.1608","0.1608","0.1608"
"210","0.2285","0.2285","0.2285","0.1584","0.1584","0.1584","0.1658","0.1658","0.1658"
"211","0.263","0.263","0.263","0.1626","0.1626","0.1626","0.16885","0.16885","0.16885"
"212","0.2625","0.2625","0.2625","0.16555","0.16555","0.16555","0.17095","0.17095","0.17095"
"213","0.2605","0.2605","0.2605","0.1684","0.1684","0.1684","0.1742","0.1742","0.1742"
"214","0.2465","0.2465","0.2465","0.17025","0.17025","0.17025","0.1764","0.1764","0.1764"
"215","0.264","0.264","0.264","0.1732","0.1732","0.1732","0.17895","0.17895","0.17895"
"216","0.265","0.265","0.265","0.17405","0.17405","0.17405","0.1794","0.1794","0.1794"
"217","0.2495","0.2495","0.2495","0.1774","0.1774","0.1774","0.1821","0.1821","0.1821"
"218","0.2615","0.2615","0.2615","0.1796","0.1796","0.1796","0.1827","0.1827","0.1827"
"219","0.2685","0.2685","0.2685","0.1806","0.1806","0.1806","0.18425","0.18425","0.18425"
"220","0.2715","0.2715","0.2715","0.1815","0.1815","0.1815","0.18405","0.18405","0.18405"
"221","0.268","0.268","0.268","0.18255","0.18255","0.18255","0.1838","0.1838","0.1838"
"222","0.2675","0.2675","0.2675","0.1837","0.1837","0.1837","0.1856","0.1856","0.1856"
"223","0.2685","0.2685","0.2685","0.18485","0.18485","0.18485","0.18675","0.18675","0.18675"
