"Step","CIFAR100_CNN_FedAvg_sgd_lr0.005_100clients - cosine_count/positive (>0)","CIFAR100_CNN_FedAvg_sgd_lr0.005_100clients - cosine_count/positive (>0)__MIN","CIFAR100_CNN_FedAvg_sgd_lr0.005_100clients - cosine_count/positive (>0)__MAX"
"0","99","99","99"
"1","99","99","99"
"2","23","23","23"
"3","10","10","10"
"4","10","10","10"
"5","12","12","12"
"6","13","13","13"
"7","14","14","14"
"8","13","13","13"
"9","13","13","13"
"10","13","13","13"
"11","15","15","15"
"12","16","16","16"
"13","16","16","16"
"14","14","14","14"
"15","12","12","12"
"16","13","13","13"
"17","14","14","14"
"18","14","14","14"
"19","14","14","14"
"20","16","16","16"
"21","17","17","17"
"22","14","14","14"
"23","13","13","13"
"24","15","15","15"
"25","32","32","32"
"26","20","20","20"
"27","15","15","15"
"28","15","15","15"
"29","11","11","11"
"30","12","12","12"
"31","11","11","11"
"32","9","9","9"
"33","11","11","11"
"34","10","10","10"
"35","11","11","11"
"36","10","10","10"
"37","12","12","12"
"38","13","13","13"
"39","12","12","12"
"40","12","12","12"
"41","9","9","9"
"42","11","11","11"
"43","14","14","14"
"44","14","14","14"
"45","14","14","14"
"46","13","13","13"
"47","13","13","13"
"48","13","13","13"
"49","15","15","15"
"50","31","31","31"
"51","26","26","26"
"52","22","22","22"
"53","22","22","22"
"54","18","18","18"
"55","20","20","20"
"56","19","19","19"
"57","21","21","21"
"58","19","19","19"
"59","21","21","21"
"60","19","19","19"
"61","20","20","20"
"62","23","23","23"
"63","23","23","23"
"64","19","19","19"
"65","22","22","22"
"66","21","21","21"
"67","20","20","20"
"68","21","21","21"
"69","21","21","21"
"70","20","20","20"
"71","20","20","20"
"72","21","21","21"
"73","21","21","21"
"74","22","22","22"
"75","41","41","41"
"76","38","38","38"
"77","33","33","33"
"78","28","28","28"
"79","26","26","26"
"80","22","22","22"
"81","21","21","21"
"82","21","21","21"
"83","21","21","21"
"84","21","21","21"
"85","21","21","21"
"86","18","18","18"
"87","22","22","22"
"88","21","21","21"
"89","21","21","21"
"90","19","19","19"
"91","21","21","21"
"92","20","20","20"
"93","21","21","21"
"94","20","20","20"
"95","19","19","19"
"96","19","19","19"
"97","25","25","25"
"98","20","20","20"
"99","21","21","21"
"100","31","31","31"
"101","30","30","30"
"102","26","26","26"
"103","30","30","30"
"104","20","20","20"
"105","22","22","22"
"106","18","18","18"
"107","26","26","26"
"108","28","28","28"
"109","25","25","25"
"110","25","25","25"
"111","29","29","29"
"112","27","27","27"
"113","27","27","27"
"114","28","28","28"
"115","26","26","26"
"116","30","30","30"
"117","28","28","28"
"118","30","30","30"
"119","31","31","31"
"120","26","26","26"
"121","28","28","28"
"122","27","27","27"
"123","28","28","28"
"124","27","27","27"
"125","46","46","46"
"126","27","27","27"
"127","19","19","19"
"128","11","11","11"
"129","14","14","14"
"130","11","11","11"
"131","9","9","9"
"132","9","9","9"
"133","10","10","10"
"134","12","12","12"
"135","13","13","13"
"136","10","10","10"
"137","9","9","9"
"138","9","9","9"
"139","10","10","10"
"140","10","10","10"
"141","13","13","13"
"142","11","11","11"
"143","7","7","7"
"144","12","12","12"
"145","11","11","11"
"146","9","9","9"
"147","12","12","12"
"148","10","10","10"
"149","11","11","11"
"150","53","53","53"
"151","43","43","43"
"152","30","30","30"
"153","27","27","27"
"154","25","25","25"
"155","26","26","26"
"156","21","21","21"
"157","25","25","25"
"158","23","23","23"
"159","27","27","27"
"160","29","29","29"
"161","26","26","26"
"162","24","24","24"
"163","23","23","23"
"164","26","26","26"
"165","26","26","26"
"166","24","24","24"
"167","25","25","25"
"168","24","24","24"
"169","25","25","25"
"170","26","26","26"
"171","24","24","24"
"172","26","26","26"
"173","25","25","25"
"174","26","26","26"
"175","53","53","53"
"176","46","46","46"
"177","42","42","42"
"178","38","38","38"
"179","37","37","37"
"180","33","33","33"
"181","38","38","38"
"182","36","36","36"
"183","40","40","40"
"184","34","34","34"
"185","37","37","37"
"186","36","36","36"
"187","36","36","36"
"188","34","34","34"
"189","35","35","35"
"190","35","35","35"
"191","33","33","33"
"192","30","30","30"
"193","32","32","32"
"194","35","35","35"
"195","34","34","34"
"196","34","34","34"
"197","34","34","34"
"198","31","31","31"
"199","33","33","33"
"200","54","54","54"
"201","42","42","42"
"202","32","32","32"
"203","31","31","31"
"204","31","31","31"
"205","25","25","25"
"206","26","26","26"
"207","36","36","36"
"208","30","30","30"
"209","27","27","27"
"210","29","29","29"
"211","26","26","26"
"212","28","28","28"
"213","34","34","34"
"214","25","25","25"
"215","31","31","31"
"216","27","27","27"
"217","29","29","29"
"218","26","26","26"
"219","31","31","31"
"220","29","29","29"
"221","30","30","30"
"222","27","27","27"
"223","26","26","26"
"224","29","29","29"
"225","37","37","37"
"226","29","29","29"
"227","24","24","24"
"228","19","19","19"
"229","21","21","21"
"230","18","18","18"
"231","17","17","17"
"232","18","18","18"
"233","13","13","13"
"234","16","16","16"
"235","15","15","15"
"236","14","14","14"
"237","16","16","16"
"238","15","15","15"
"239","13","13","13"
"240","15","15","15"
"241","13","13","13"
"242","14","14","14"
"243","15","15","15"
"244","13","13","13"
"245","14","14","14"
"246","15","15","15"
"247","14","14","14"
"248","15","15","15"
"249","15","15","15"
"250","23","23","23"
"251","15","15","15"
"252","13","13","13"
"253","17","17","17"
"254","20","20","20"
"255","18","18","18"
"256","21","21","21"
"257","18","18","18"
"258","18","18","18"
"259","21","21","21"
"260","18","18","18"
"261","17","17","17"
"262","21","21","21"
"263","18","18","18"
"264","18","18","18"
"265","19","19","19"
"266","22","22","22"
"267","21","21","21"
"268","21","21","21"
"269","17","17","17"
"270","21","21","21"
"271","17","17","17"
"272","18","18","18"
"273","21","21","21"
"274","20","20","20"
"275","51","51","51"
"276","40","40","40"
"277","33","33","33"
"278","31","31","31"
"279","22","22","22"
"280","21","21","21"
"281","19","19","19"
"282","16","16","16"
"283","15","15","15"
"284","19","19","19"
"285","16","16","16"
"286","20","20","20"
"287","22","22","22"
"288","23","23","23"
"289","19","19","19"
"290","16","16","16"
"291","22","22","22"
"292","22","22","22"
"293","17","17","17"
"294","17","17","17"
"295","19","19","19"
"296","15","15","15"
"297","16","16","16"
"298","15","15","15"
"299","17","17","17"